portal  total_ct        core_ct        pgroupspecific_ct        npgroupspecific_ct       acc_ct
Phaal1  6699    6347    122     0       230
Macph1  9787    7437    748     0       1602
CocheC4_1       10114   7978    2080    0       56
Fusve2  10898   8512    1444    0       942
Beaba1  7905    7277    0       39      589
HypCO275_1      9204    7883    0       881     440
Colsa1  9624    7977    1215    0       432
Rhier1  11561   8361    0       1136    2064
BlugrR1_1       6214    5157    947     0       110
Tubae1  7411    5600    0       1146    665
Fusfu1  9965    8381    1264    0       320
Zymbr1  8514    6823    1502    0       189
Colsi1  9621    8009    1350    0       262
Botdo1_1        10293   7602    860     0       1831
Dipse1  7198    6491    461     0       246
Morco1  9459    6280    0       664     2515
Chove1  10685   6876    0       1468    2341
Diaam1  7888    7160    175     0       553
Cocca1  10434   7912    1799    0       723
Xylhe1  7299    6321    0       40      938
Venin1  10197   7301    1307    0       1589
Dotse1  10096   7115    1237    0       1744
Colny1  9916    8091    1432    0       393
Ascsa1  8465    7295    0       315     855
Colto1  8545    7577    699     0       269
Neopa1  7444    6702    535     0       207
Neodi1  8797    7896    362     0       539
Perma1  11747   9259    0       90      2398
Colch1  7514    7122    314     0       78
Sclsc1  11998   7371    691     0       3936
Stely1  7223    6606    444     0       173
Blugr2  6155    5145    949     0       61
Grocl1  6950    6340    120     0       490
Erynec1 5017    4731    105     0       181
Seppo1  8318    6553    1212    0       553
Settu3  9663    7807    727     0       1129
Botci1  13341   7590    715     0       5036
Ophpic1 7383    6642    142     0       599
Mycgr3  8706    6683    1284    0       739
HypEC38_3       9460    7892    0       879     689
Verda1  8336    7292    592     0       452
Zymar1  8589    6819    1535    0       235
Magpo1  9566    6989    749     0       1828
Oidma1  10088   8189    0       380     1519
CocheC5_3       10104   8013    2049    0       42
Stano2  9934    7746    518     0       1670
Fusox2  12216   9109    1441    0       1666
Zymps1  8716    6875    1631    0       210
HypCI4A_1       8975    7752    0       391     832
DalEC12_1       8717    7677    0       377     663
Micbo1  9609    7843    0       45      1721
Lepmu1  10790   7274    407     0       3109
Trigam1 8063    7424    0       53      586
Clafu1  10183   7222    1366    0       1595
Blugra1 5662    5007    478     0       177
Ascra1  8526    7461    351     0       714
Sepmu1  8671    6717    1214    0       740
Pyrtt1  9101    7781    951     0       369
Venpi1  9648    7009    1294    0       1345
Veral1  7992    7021    592     0       379
Fusps1  9308    7870    987     0       451
Eutla1  8105    7415    118     0       572
Necha2  9345    8188    576     0       581
Cadsp1  12828   9360    0       798     2670
Terbo2  8743    6145    0       317     2281
Gaegr1  11128   7583    788     0       2757
Tubbor1 8812    5944    0       1330    1538
Coclu2  9792    7873    676     0       1243
Tubma1  7494    5649    0       1327    518
Cocsa1  9510    7861    1234    0       415
Tapde1_1        4233    3699    17      0       517
Fusgr1  9857    7957    991     0       909
Colgr1  9079    7752    643     0       684
Color1  10794   8007    1284    0       1503
Maggr1  8698    7330    301     0       1067
Phach1  5815    5457    37      0       321
Stasp1  10303   8442    643     0       1218
Cocmi1  9690    7844    1368    0       478
Cocvi1  10307   7966    1829    0       512
Phisc1  11781   8773    0       686     2322
Colfi1  9584    8006    1287    0       291
Altbr1  8600    7106    492     0       1002
Corca1  12058   8653    389     0       3016
Colorb1 9677    7772    647     0       1258
Cenge3  9765    8082    0       168     1515
Melva1  11940   8812    0       1349    1779
Phycit1 9924    6885    232     0       2807
Tubme1v2        7699    5735    0       1476    488
Pyrtr1  9672    7783    964     0       925
Melbi2  11840   8610    0       1274    1956
Mycfi2  10474   7114    718     0       2642
Colin1  8151    7400    541     0       210
